chain_symbol,expiration_date,strike_price,option_type,side,order_created_at,direction,order_quantity,order_type,opening_strategy,closing_strategy,price,processed_quantity
PFE,2020-07-31,39.0000,call,buy,2020-07-29T19:42:21.364977Z,debit,3.00000,limit,long_call,,0.50000000,3.00000
AAPL,2020-08-21,400.0000,call,buy,2020-07-29T19:38:24.790971Z,debit,1.00000,limit,long_call,,5.10000000,1.00000
TSLA,2020-07-31,1700.0000,call,sell,2020-07-29T18:05:16.501914Z,credit,1.00000,limit,,long_call,1.55000000,1.00000
DAL,2020-08-21,29.0000,call,buy,2020-07-29T18:04:35.358671Z,debit,4.00000,limit,long_call,,0.52000000,4.00000
TSLA,2020-07-31,1700.0000,call,buy,2020-07-29T17:09:14.421476Z,debit,1.00000,limit,long_call,,2.10000000,1.00000
PYPL,2020-08-07,190.0000,call,buy,2020-07-29T15:55:37.043697Z,debit,1.00000,limit,long_call,,4.15000000,1.00000
NVDA,2020-08-14,425.0000,call,sell,2020-07-29T13:30:51.988469Z,credit,1.00000,limit,,long_call,12.50000000,1.00000
NVDA,2020-08-14,425.0000,call,buy,2020-07-28T19:59:41.132257Z,debit,1.00000,limit,long_call,,10.80000000,1.00000
NVDA,2020-08-07,430.0000,call,sell,2020-07-28T19:51:40.105658Z,credit,3.00000,limit,,long_call,3.90000000,3.00000
NVDA,2020-08-07,430.0000,call,buy,2020-07-28T13:48:38.251159Z,debit,1.00000,limit,long_call,,5.00000000,1.00000
QQQ,2020-07-31,251.0000,put,buy,2020-07-27T19:57:30.212799Z,debit,1.00000,limit,long_put,,1.12000000,1.00000
QQQ,2020-07-31,248.0000,put,sell,2020-07-27T19:56:40.745038Z,credit,1.00000,limit,,long_put,0.70000000,1.00000
AAPL,2020-08-21,400.0000,call,sell,2020-07-27T13:50:03.717787Z,credit,1.00000,limit,,long_call,5.65000000,1.00000
QQQ,2020-07-31,248.0000,put,buy,2020-07-24T18:19:32.462911Z,debit,1.00000,limit,long_put,,2.11000000,1.00000
NVDA,2020-08-07,430.0000,call,buy,2020-07-24T18:17:20.619231Z,debit,1.00000,limit,long_call,,6.45000000,1.00000
AAPL,2020-08-21,400.0000,call,buy,2020-07-24T14:30:33.660863Z,debit,1.00000,limit,long_call,,3.55000000,1.00000
SPY,2020-07-24,322.0000,put,sell,2020-07-24T14:03:37.617733Z,credit,1.00000,limit,,long_put,1.92000000,1.00000
QQQ,2020-07-24,253.0000,put,sell,2020-07-24T13:43:40.826270Z,credit,1.00000,limit,,long_put,1.78000000,1.00000
ETSY,2020-08-07,115.0000,call,sell,2020-07-24T13:38:33.475573Z,credit,2.00000,limit,,long_call,2.20000000,2.00000
QQQ,2020-07-24,253.0000,put,buy,2020-07-23T19:54:47.446283Z,debit,1.00000,limit,long_put,,0.54000000,1.00000
SPY,2020-07-24,322.0000,put,buy,2020-07-23T19:53:24.701840Z,debit,1.00000,limit,long_put,,1.58000000,1.00000
NVDA,2020-08-07,430.0000,call,buy,2020-07-23T18:35:33.457373Z,debit,1.00000,limit,long_call,,5.45000000,1.00000
QQQ,2020-07-24,260.0000,put,sell,2020-07-23T18:02:05.838459Z,credit,1.00000,limit,,long_put,2.97000000,1.00000
AAPL,2020-08-21,400.0000,call,buy,2020-07-23T16:19:55.848837Z,debit,1.00000,limit,long_call,,6.70000000,1.00000
NVDA,2020-07-24,420.0000,call,sell,2020-07-23T16:13:15.040662Z,credit,1.00000,limit,,long_call,1.83000000,1.00000
MSFT,2020-09-18,230.0000,call,sell,2020-07-23T16:03:52.623446Z,credit,1.00000,limit,,long_call,2.50000000,1.00000
SPCE,2020-08-07,28.0000,call,sell,2020-07-23T16:02:44.479044Z,credit,1.00000,limit,,long_call,2.78000000,1.00000
MRNA,2020-07-31,85.0000,call,sell,2020-07-23T14:32:28.912845Z,credit,1.00000,limit,,long_call,3.00000000,1.00000
VXX,2020-07-24,30.0000,call,sell,2020-07-22T19:46:06.963596Z,credit,1.00000,limit,,long_call,0.59000000,1.00000
QQQ,2020-07-24,260.0000,put,buy,2020-07-22T17:54:16.340076Z,debit,1.00000,limit,long_put,,1.38000000,1.00000
ETSY,2020-08-07,115.0000,call,buy,2020-07-22T17:42:06.256280Z,debit,1.00000,limit,long_call,,3.70000000,1.00000
SPCE,2020-08-07,28.0000,call,buy,2020-07-22T17:40:52.319222Z,debit,1.00000,limit,long_call,,2.47000000,1.00000
NVDA,2020-07-24,420.0000,call,sell,2020-07-22T16:17:54.990343Z,credit,1.00000,limit,,long_call,6.05000000,1.00000
NVDA,2020-07-24,420.0000,call,buy,2020-07-22T15:18:24.873342Z,debit,1.00000,limit,long_call,,4.90000000,1.00000
V,2020-07-31,205.0000,call,sell,2020-07-22T15:10:49.055983Z,credit,1.00000,limit,,long_call,1.37000000,1.00000
NVDA,2020-07-24,420.0000,call,buy,2020-07-22T14:55:40.152660Z,debit,1.00000,limit,long_call,,5.80000000,1.00000
NVDA,2020-07-24,420.0000,call,sell,2020-07-21T18:33:23.348003Z,credit,1.00000,limit,,long_call,4.95000000,1.00000
NVDA,2020-07-24,420.0000,call,sell,2020-07-21T18:08:41.628298Z,credit,1.00000,limit,,long_call,5.65000000,1.00000
NVDA,2020-07-24,420.0000,call,buy,2020-07-21T16:05:23.049808Z,debit,1.00000,limit,long_call,,4.10000000,1.00000
NVDA,2020-07-24,420.0000,call,buy,2020-07-21T15:01:16.564131Z,debit,1.00000,limit,long_call,,5.05000000,1.00000
ETSY,2020-08-07,115.0000,call,buy,2020-07-21T14:41:09.650393Z,debit,1.00000,limit,long_call,,5.00000000,1.00000
V,2020-07-31,205.0000,call,buy,2020-07-21T13:49:50.836431Z,debit,1.00000,limit,long_call,,1.91000000,1.00000
NVDA,2020-07-24,440.0000,call,sell,2020-07-21T13:33:36.112920Z,credit,1.00000,limit,,long_call,1.79000000,1.00000
AAPL,2020-07-24,400.0000,call,sell,2020-07-21T13:30:28.769547Z,credit,2.00000,limit,,long_call,3.10000000,2.00000
AAPL,2020-07-24,400.0000,call,sell,2020-07-20T19:43:13.690233Z,credit,4.00000,limit,,long_call,2.59000000,4.00000
VXX,2020-07-24,30.0000,call,buy,2020-07-20T19:34:21.892137Z,debit,1.00000,limit,long_call,,0.78000000,1.00000
MRNA,2020-07-31,85.0000,call,buy,2020-07-20T18:15:31.258050Z,debit,1.00000,limit,long_call,,5.60000000,1.00000
NVDA,2020-07-24,440.0000,call,buy,2020-07-20T15:44:45.666818Z,debit,1.00000,limit,long_call,,1.79000000,1.00000
AAPL,2020-07-24,400.0000,call,buy,2020-07-20T14:39:23.664937Z,debit,1.00000,limit,long_call,,1.59000000,1.00000
AAPL,2020-07-24,400.0000,call,buy,2020-07-20T14:16:48.827983Z,debit,1.00000,limit,long_call,,1.71000000,1.00000
AAPL,2020-07-24,400.0000,call,buy,2020-07-17T18:55:31.221829Z,debit,1.00000,limit,long_call,,2.21000000,1.00000
AAPL,2020-07-24,400.0000,call,buy,2020-07-17T18:14:31.178735Z,debit,1.00000,limit,long_call,,2.26000000,1.00000
AAPL,2020-07-24,400.0000,call,buy,2020-07-17T17:06:16.236762Z,debit,1.00000,limit,long_call,,2.33000000,1.00000
MSFT,2020-09-18,230.0000,call,buy,2020-07-17T16:15:23.916370Z,debit,1.00000,limit,long_call,,2.64000000,1.00000
TWLO,2020-07-31,240.0000,call,sell,2020-07-17T15:18:40.249027Z,credit,1.00000,limit,,long_call,7.40000000,1.00000
AAPL,2020-07-24,400.0000,call,buy,2020-07-17T14:57:15.311029Z,debit,1.00000,limit,long_call,,2.46000000,1.00000
DAL,2020-07-24,30.0000,call,sell,2020-07-17T13:56:59.440025Z,credit,2.00000,limit,,long_call,0.39000000,2.00000
SPY,2020-07-17,317.0000,put,buy,2020-07-16T14:22:50.781270Z,debit,1.00000,limit,long_put,,1.08000000,1.00000
DAL,2020-07-24,30.0000,call,buy,2020-07-15T16:39:08.627391Z,debit,1.00000,limit,long_call,,0.54000000,1.00000
DAL,2020-07-24,30.0000,call,buy,2020-07-15T15:33:58.854789Z,debit,1.00000,limit,long_call,,0.51000000,1.00000
TWLO,2020-07-31,240.0000,call,buy,2020-07-15T15:28:44.291169Z,debit,1.00000,limit,long_call,,4.90000000,1.00000
DDOG,2020-07-17,95.0000,call,sell,2020-07-15T13:36:11.848736Z,credit,1.00000,limit,,long_call,0.25000000,1.00000
AAPL,2020-07-24,400.0000,call,sell,2020-07-15T13:35:55.904104Z,credit,1.00000,limit,,long_call,6.65000000,1.00000
MSFT,2020-07-31,235.0000,call,sell,2020-07-15T13:35:27.031531Z,credit,1.00000,limit,,long_call,1.24000000,1.00000
SPOT,2020-07-24,280.0000,call,sell,2020-07-15T13:33:18.841331Z,credit,1.00000,limit,,long_call,6.00000000,1.00000
SPY,2020-07-17,330.0000,call,buy,2020-07-14T23:09:51.084397Z,debit,1.00000,limit,long_call,,0.24000000,1.00000
AAPL,2020-07-24,400.0000,call,buy,2020-07-14T15:51:04.619622Z,debit,1.00000,limit,long_call,,4.35000000,1.00000
AAPL,2020-07-24,430.0000,call,sell,2020-07-14T15:50:43.935383Z,credit,1.00000,limit,,long_call,1.38000000,1.00000
PYPL,2020-07-24,185.0000,call,sell,2020-07-14T15:50:16.152998Z,credit,1.00000,limit,,long_call,1.04000000,1.00000
SPOT,2020-07-24,280.0000,call,buy,2020-07-14T13:46:52.348954Z,debit,1.00000,limit,long_call,,4.50000000,1.00000
MA,2020-07-17,305.0000,call,sell,2020-07-13T19:26:00.272389Z,credit,2.00000,limit,,long_call,1.03000000,2.00000
AAPL,2020-07-24,430.0000,call,buy,2020-07-13T18:52:59.993577Z,debit,1.00000,limit,long_call,,1.71000000,1.00000
DDOG,2020-07-17,95.0000,call,buy,2020-07-13T18:44:37.200825Z,debit,1.00000,limit,long_call,,0.95000000,1.00000
MSFT,2020-07-31,235.0000,call,buy,2020-07-13T18:39:29.729683Z,debit,1.00000,limit,long_call,,1.56000000,1.00000
IWM,2020-07-31,145.0000,call,sell,2020-07-13T18:14:55.893928Z,credit,1.00000,limit,,long_call,3.94000000,1.00000
IWM,2020-07-31,145.0000,call,buy,2020-07-13T14:22:49.916778Z,debit,1.00000,limit,long_call,,3.11000000,1.00000
